Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Fm'19;Fm'20;Fm'21;Fm'22;Fm'23;Fm'24;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;Y(II)20;Y(II)21;Y(II)22;Y(II)23;Y(II)24;
04.09.20;11:46:46;1;0;0.0660;0.0024;0.0973;0.1095;0.0743;0.0611;0.0938;0.1505;0.1070;0.0919;0.0029;0.0024;0.0836;0.1310;0.1178;0.1422;0.0718;0.1026;0.0616;0.0943;0.0758;0.0029;0.0767;0.1012;0.1471;0.0049;0.2111;0.2732;0.1950;0.1804;0.1931;0.2820;0.2258;0.2546;0.0059;0.0049;0.2229;0.2395;0.2336;0.2805;0.2087;0.2898;0.1760;0.2048;0.1891;0.0049;0.2190;0.2102;0.551;0.000;0.539;0.599;0.619;0.661;0.514;0.466;0.526;0.639;0.000;0.000;0.625;0.453;0.496;0.493;0.656;0.646;0.650;0.539;0.599;0.000;0.650;0.519;
04.09.20;11:48:44;2;0;0.0670;0.0024;0.1007;0.1100;0.0743;0.0596;0.0953;0.1530;0.1061;0.0934;0.0034;0.0024;0.0855;0.1310;0.1188;0.1476;0.0714;0.1026;0.0635;0.0973;0.0762;0.0034;0.0777;0.1012;0.1466;0.0044;0.2077;0.2713;0.1926;0.1750;0.1921;0.2825;0.2170;0.2542;0.0044;0.0049;0.2234;0.2395;0.2312;0.2845;0.2063;0.2874;0.1764;0.2053;0.1848;0.0044;0.2199;0.2092;0.543;0.000;0.515;0.595;0.614;0.659;0.504;0.458;0.511;0.633;0.000;0.000;0.617;0.453;0.486;0.481;0.654;0.643;0.640;0.526;0.587;0.000;0.647;0.516;
04.09.20;11:49:45;3;0;0.0665;0.0024;0.1026;0.1124;0.0762;0.0616;0.0987;0.1559;0.1085;0.0943;0.0029;0.0020;0.0865;0.1339;0.1227;0.1515;0.0723;0.1051;0.0645;0.0997;0.0782;0.0034;0.0802;0.1031;0.1437;0.0044;0.2053;0.2678;0.1926;0.1735;0.1896;0.2791;0.2141;0.2532;0.0049;0.0039;0.2224;0.2341;0.2292;0.2820;0.2019;0.2854;0.1755;0.2077;0.1862;0.0049;0.2243;0.2107;0.537;0.000;0.500;0.580;0.604;0.645;0.479;0.441;0.493;0.627;0.000;0.000;0.611;0.428;0.465;0.463;0.642;0.632;0.632;0.520;0.580;0.000;0.643;0.510;
04.09.20;11:50:46;4;0;0.0674;0.0020;0.1022;0.1124;0.0777;0.0606;0.0982;0.1554;0.1095;0.0948;0.0029;0.0024;0.0870;0.1339;0.1222;0.1520;0.0728;0.1061;0.0650;0.0992;0.0787;0.0029;0.0802;0.1036;0.1442;0.0049;0.2033;0.2669;0.1921;0.1701;0.1906;0.2805;0.2165;0.2522;0.0049;0.0049;0.2209;0.2351;0.2263;0.2796;0.2028;0.2884;0.1764;0.2053;0.1862;0.0049;0.2239;0.2077;0.532;0.000;0.498;0.579;0.595;0.644;0.485;0.446;0.494;0.624;0.000;0.000;0.606;0.430;0.460;0.456;0.641;0.632;0.632;0.517;0.577;0.000;0.642;0.501;
04.09.20;11:51:47;5;0;0.0660;0.0020;0.1022;0.1139;0.0767;0.0606;0.0973;0.1554;0.1095;0.0958;0.0034;0.0020;0.0875;0.1349;0.1222;0.1535;0.0738;0.1056;0.0655;0.1007;0.0782;0.0029;0.0802;0.1026;0.1388;0.0044;0.2053;0.2683;0.1916;0.1730;0.1896;0.2771;0.2175;0.2542;0.0044;0.0039;0.2170;0.2356;0.2263;0.2786;0.2053;0.2874;0.1760;0.2067;0.1867;0.0054;0.2253;0.2087;0.525;0.000;0.502;0.576;0.599;0.650;0.487;0.439;0.497;0.623;0.000;0.000;0.597;0.427;0.460;0.449;0.640;0.633;0.628;0.513;0.581;0.000;0.644;0.508;
04.09.20;11:52:48;6;0;0.0655;0.0020;0.1012;0.1119;0.0772;0.0596;0.0978;0.1559;0.1095;0.0948;0.0029;0.0024;0.0870;0.1334;0.1217;0.1530;0.0743;0.1051;0.0650;0.0992;0.0782;0.0029;0.0802;0.1022;0.1393;0.0044;0.2033;0.2659;0.1926;0.1711;0.1857;0.2761;0.2151;0.2537;0.0039;0.0039;0.2190;0.2326;0.2243;0.2805;0.2077;0.2864;0.1769;0.2043;0.1857;0.0049;0.2253;0.2053;0.530;0.000;0.502;0.579;0.599;0.651;0.474;0.435;0.491;0.626;0.000;0.000;0.603;0.426;0.458;0.455;0.642;0.633;0.633;0.514;0.579;0.000;0.644;0.502;
04.09.20;11:53:49;7;0;0.0660;0.0024;0.1022;0.1129;0.0782;0.0606;0.0987;0.1574;0.1124;0.0978;0.0029;0.0020;0.0880;0.1339;0.1227;0.1544;0.0758;0.1051;0.0660;0.0997;0.0797;0.0034;0.0811;0.1007;0.1383;0.0049;0.2043;0.2644;0.1935;0.1711;0.1877;0.2771;0.2185;0.2556;0.0044;0.0044;0.2204;0.2346;0.2278;0.2810;0.2102;0.2874;0.1764;0.2048;0.1848;0.0054;0.2248;0.2043;0.523;0.000;0.500;0.573;0.596;0.646;0.474;0.432;0.485;0.618;0.000;0.000;0.601;0.429;0.461;0.450;0.640;0.634;0.626;0.513;0.569;0.000;0.639;0.507;
04.09.20;11:54:49;8;0;0.0645;0.0024;0.1007;0.1129;0.0772;0.0591;0.0978;0.1579;0.1119;0.0973;0.0034;0.0024;0.0875;0.1320;0.1207;0.1530;0.0762;0.1061;0.0650;0.0973;0.0782;0.0039;0.0811;0.1012;0.1393;0.0049;0.2019;0.2659;0.1921;0.1681;0.1887;0.2791;0.2195;0.2556;0.0054;0.0044;0.2214;0.2322;0.2287;0.2786;0.2107;0.2840;0.1764;0.2053;0.1857;0.0054;0.2253;0.2038;0.537;0.000;0.501;0.575;0.598;0.648;0.482;0.434;0.490;0.620;0.000;0.000;0.605;0.432;0.472;0.451;0.638;0.627;0.632;0.526;0.579;0.000;0.640;0.504;
04.09.20;11:55:52;9;0;0.0640;0.0024;0.1012;0.1119;0.0772;0.0596;0.0968;0.1579;0.1124;0.0968;0.0034;0.0020;0.0875;0.1325;0.1197;0.1549;0.0767;0.1046;0.0650;0.0987;0.0782;0.0029;0.0811;0.1007;0.1369;0.0034;0.2019;0.2659;0.1926;0.1686;0.1848;0.2781;0.2195;0.2581;0.0044;0.0039;0.2229;0.2307;0.2229;0.2801;0.2131;0.2845;0.1735;0.2058;0.1862;0.0044;0.2263;0.2014;0.532;0.000;0.499;0.579;0.599;0.646;0.476;0.432;0.488;0.625;0.000;0.000;0.607;0.426;0.463;0.447;0.640;0.632;0.625;0.520;0.580;0.000;0.641;0.500;
04.09.20;11:56:53;10;0;0.0650;0.0024;0.1012;0.1114;0.0782;0.0606;0.0968;0.1574;0.1124;0.0968;0.0034;0.0024;0.0875;0.1325;0.1217;0.1574;0.0767;0.1041;0.0645;0.0987;0.0787;0.0034;0.0816;0.1012;0.1359;0.0039;0.1999;0.2615;0.1940;0.1711;0.1833;0.2771;0.2180;0.2551;0.0044;0.0044;0.2214;0.2292;0.2248;0.2820;0.2121;0.2830;0.1745;0.2043;0.1867;0.0054;0.2258;0.2043;0.522;0.000;0.494;0.574;0.597;0.646;0.472;0.432;0.484;0.621;0.000;0.000;0.605;0.422;0.459;0.442;0.638;0.632;0.630;0.517;0.579;0.000;0.639;0.505;
